,Energy,Iterations,Dipole Moment,Eigens,Derivatives,Derivative Time,Wall Time
lithium_monosulfide,-405.75699362,11,2.720014,"[-88.79149365, -7.87316727, -5.84422657, -5.82857236, -5.82817035, -2.02978978, -0.62030327, -0.25156211, -0.23485275, -0.21119566]","[1e-06, 0.0, 0.000465, -0.000559, 8e-05, -0.001029]",-1,238.3
phosphorus_dioxide,-491.91964138,15,0.5697833,"[-77.17834907, -19.18743791, -19.1874325, -6.66425179, -4.82756629, -4.82571086, -4.82148048, -1.08492259, -1.0385598, -0.57687411, -0.47856095, -0.45889599, -0.45402856, -0.38432036, -0.38130898, -0.31970912]","[-5.7e-05, -7.8e-05, 0.027334, 0.0, -0.002745, 0.005375, -6e-06, 0.002745, 0.005381]",-1,596.4
formaldoxime_zwitterion,-169.89020733,12,1.416511,"[-19.11915841, -14.47326729, -10.22968952, -1.11821469, -0.86960963, -0.67050073, -0.55940883, -0.49550472, -0.46166082, -0.43330402, -0.27201557, -0.24846351]","[0.009827, -0.003825, -0.00042, -0.008437, 1.2e-05, 0.001016, -0.006212, -0.002593, -0.000154, 0.000669, -0.005659, -0.000175, 0.004601, 0.003189, 0.000254, -0.000581, 0.009093, -0.000648]",-1,121.6
tetrafluoroethylene,-475.7601722,29,4.898646e-05,"[-24.74754569, -24.74753789, -24.74752904, -24.74751611, -10.369931, -10.36888385, -1.32615918, -1.31218147, -1.26853993, -1.25768502, -0.8270775, -0.68121079, -0.63927244, -0.63070394, -0.58620178, -0.57667433, -0.53308859, -0.5062672, -0.48399853, -0.47768488, -0.47279349, -0.4706771, -0.45350182, -0.27892276]","[-1e-06, -2e-06, -0.014557, 2e-06, -4e-06, 0.014563, -3e-06, -0.000805, 0.001495, -4e-06, 0.000801, 0.001495, 1e-06, 0.000805, -0.001548, 6e-06, -0.000805, -0.001501]",-1,798.1
boron_dioxide,-175.39379312,11,6.33269e-06,"[-19.21751439, -19.2175091, -6.83710257, -1.06318826, -1.06186845, -0.50288709, -0.48568648, -0.48297735, -0.45135662, -0.42097529, -0.38131006]","[-5e-06, -2e-06, 0.0, -3e-06, -3e-06, 0.00753, -6e-06, 3e-06, -0.007529]",-1,211.7
cyano_radical,-92.75501051,13,0.5340254,"[-14.39042341, -10.30121535, -0.96460781, -0.5078329, -0.4142139, -0.39651161, -0.39651161]","[-1e-06, -2e-06, -0.051714, 2e-06, 5e-06, 0.025675]",-1,150.6
boron_nitride,-79.45070587,13,0.8236417,"[-14.37487077, -6.85058075, -0.85350654, -0.41597177, -0.37264714, -0.33076548, -0.32996886]","[1e-06, 4e-06, -0.024318, -1e-06, 6e-06, 0.000843]",-1,150.2
acetyl_chloride,-613.57161186,28,1.106387,"[-101.53154379, -19.16501548, -10.33643541, -10.2173147, -9.467408, -7.22794587, -7.2214919, -7.22025305, -1.10325731, -0.86111921, -0.76912119, -0.57276942, -0.50108465, -0.48550687, -0.48531567, -0.42545105, -0.41126034, -0.3355903, -0.33133866, -0.30824864]","[-0.009062, -0.006666, -0.0, -0.010949, 0.005302, 0.0, 0.001328, 0.010702, -1e-06, 0.005078, 0.001019, -8.7e-05, 0.01127, -0.000153, -0.0, 0.000759, -0.005281, 0.009302, 0.000759, -0.005281, -0.009302]",-1,574.4
magnesium_diatomic,-400.20754314,9,5.10296e-06,"[-46.78978364, -46.7897793, -3.09478862, -3.09478767, -1.8382489, -1.83824889, -1.83824732, -1.83824727, -1.83799568, -1.83796948, -0.21517164, -0.17704489]","[5.3e-05, -3.9e-05, 0.000451, -4.3e-05, 2.1e-05, -0.000394]",-1,108.3
methyl_chloride,-500.17669745,15,0.7344167,"[-101.5172079, -10.23821447, -9.45218837, -7.21389165, -7.20520762, -7.20520717, -0.85513209, -0.67770358, -0.44744408, -0.44744204, -0.42275681, -0.30369381, -0.30369333]","[-0.0, -0.000106, 0.027883, 0.000194, 7e-06, 0.001078, 0.0, 0.01428, -0.009463, 0.012343, -0.00713, -0.009455, -0.012343, -0.007129, -0.009455]",-1,183.3
dimethyl_ether,-155.10787667,15,0.4996491,"[-19.12897521, -10.215417, -10.21540933, -1.03816835, -0.72396821, -0.64214184, -0.47971364, -0.47826969, -0.47765268, -0.40175151, -0.38486264, -0.32570246, -0.2649477]","[-2.2e-05, -0.0, -0.010184, 3e-06, 0.00191, -0.000859, 1e-06, -0.001907, -0.00086, 0.0, 0.006221, 0.001386, 0.0, -0.006221, 0.001386, 0.000987, -0.003646, 0.001911, -0.000987, -0.003646, 0.001911, -0.000987, 0.003646, 0.001912, 0.000987, 0.003646, 0.001911]",-1,154.2
methyl_ketene,-192.0125303,28,0.7630558,"[-19.1872322, -10.29109808, -10.18995018, -10.18776913, -1.11409532, -0.80717528, -0.69187895, -0.53656749, -0.50155065, -0.46173893, -0.45718517, -0.42214835, -0.40780877, -0.39031913, -0.23615191]","[0.001165, 0.000239, -2.7e-05, -0.012481, 0.003283, -8e-06, -0.000632, 0.000708, 6e-06, 0.008283, -0.003737, 2.2e-05, 0.000276, -0.000525, 7e-06, 0.000712, 2.2e-05, -1e-06, 0.000952, 0.000121, 0.000339, 0.000949, 0.000118, -0.00034]",-1,336.2
tetrafluorosilane,-689.39958617,11,0.0001494047,"[-66.23695327, -24.72092327, -24.72088198, -24.72087386, -24.72086318, -5.39652535, -3.75567529, -3.75567462, -3.7556735, -1.27448112, -1.23805611, -1.23805027, -1.23804198, -0.62603342, -0.55821138, -0.55820917, -0.55820544, -0.50577681, -0.50577647, -0.49670096, -0.49669963, -0.49669917, -0.45997606, -0.45997158, -0.45996919]","[9.6e-05, -0.000113, 3.1e-05, -0.004546, -0.004518, -0.004576, 0.0046, 0.004534, -0.00457, 0.004577, -0.004489, 0.004548, -0.004554, 0.004517, 0.004511]",-1,436.5
silicon_monosulfide,-687.7761398,11,0.6974386,"[-88.8439068, -66.15087145, -7.92753089, -5.88690041, -5.88690019, -5.88591661, -5.3173532, -3.67641903, -3.67641881, -3.67059894, -0.71350948, -0.44043418, -0.29378901, -0.293789, -0.28836156]","[1.1e-05, 2.5e-05, 0.006298, -0.000269, 0.000226, -0.001485]",-1,189.3
sulfur_monochloride,-858.43693661,14,0.02080263,"[-101.57422857, -88.91717492, -9.50783661, -7.99559385, -7.26869279, -7.26445834, -7.25935946, -5.96263335, -5.95919183, -5.94644167, -0.90676181, -0.6934156, -0.44258888, -0.41393877, -0.39522573, -0.29382233, -0.26144551]","[6.5e-05, -9.7e-05, -7.8e-05, -4e-06, -2.4e-05, 0.002249]",-1,524.8
neon_dimer,-257.96185053,11,1.153491e-05,"[-30.96988045, -30.96981868, -1.46000986, -1.45940303, -0.57892384, -0.5756624, -0.57566235, -0.57452509, -0.57452504, -0.57130869]","[-4e-06, 1.5e-05, 0.000215, -1.2e-05, 9e-06, -0.00027]",-1,101.2
formaldoxime,-169.90426572,12,0.1566398,"[-19.17639106, -14.38564958, -10.21490593, -1.09348813, -0.87250816, -0.61890047, -0.54291136, -0.47509556, -0.43192193, -0.42254129, -0.30018644, -0.28234395]","[0.009805, -0.015133, 7e-06, -0.009853, 0.014901, 5e-06, -0.003905, 0.000278, 4.3e-05, -0.002367, 0.000236, 1e-06, 0.002102, 0.004057, 1e-06, 0.005031, -0.003205, 1e-06]",-1,120.9
lithium_chloride,-467.85086719,11,2.732976,"[-101.42315066, -9.35950928, -7.11570613, -7.11525335, -7.11525312, -2.03327697, -0.71641353, -0.2781563, -0.2553547, -0.25535468]","[-0.0, -0.0, 3.5e-05, -5.7e-05, -6e-06, 0.00467]",-1,119.1
isopropyl_radical,-118.53900156,28,0.1150074,"[-10.17956039, -10.16560037, -10.16558906, -0.78522614, -0.69351535, -0.5732762, -0.45639996, -0.43424743, -0.41234553, -0.3907626, -0.35810204, -0.35225016, -0.18903805]","[-0.012627, 0.003282, -1e-06, 0.002689, -0.001514, -0.000238, 0.002688, -0.001513, 0.000236, 0.000822, 1.6e-05, 0.0, -0.001081, 0.001533, 0.001095, -0.001081, 0.001533, -0.001095, 0.000689, 0.000218, -0.00041, -0.001524, -0.000576, -0.000668, -0.001524, -0.000576, 0.000668, 0.000689, 0.000218, 0.00041]",-1,577.9
cyanogen,-185.74087444,11,1.302056e-06,"[-14.39340385, -14.39340155, -10.29125345, -10.29067391, -0.99028694, -0.97188554, -0.75543264, -0.46216057, -0.46216057, -0.44123143, -0.42962041, -0.38354087, -0.38354087]","[1e-06, 3e-06, 0.013057, -3e-06, 1e-06, -0.013057, -0.0, 5e-06, -0.001297, 0.0, 7e-06, 0.001298]",-1,153.2
boron_monohydride,-25.30184092,9,0.6176329,"[-6.8428809, -0.48797418, -0.24026643]","[-0.0, -0.0, -0.000421, 0.0, 0.0, -0.000888]",-1,20.6
thiirane,-476.86845602,12,0.7386524,"[-88.84551913, -10.21762268, -10.21731121, -7.92688271, -5.88994499, -5.88757796, -5.88064041, -0.86771489, -0.62572165, -0.62112967, -0.50057084, -0.45707503, -0.39433195, -0.33064681, -0.32111222, -0.23352247]","[0.000187, 0.000283, -0.009281, 0.0, 0.001079, 0.00085, -1e-06, -0.001079, 0.000849, -0.002015, -2.7e-05, 0.000393, 0.002014, -2.7e-05, 0.000393, 0.002015, 2.7e-05, 0.000393, -0.002015, 2.7e-05, 0.000393]",-1,217.6
sodium_chloride,-622.63381943,11,3.414468,"[-101.40277108, -38.48235332, -9.33859504, -7.09523979, -7.09418143, -7.09418133, -2.25225559, -1.1847597, -1.18475957, -1.18310881, -0.69153682, -0.24944086, -0.23283669, -0.23283669]","[-5.2e-05, -3.3e-05, 0.002358, -0.000354, 0.000312, -0.001469]",-1,163.6
magnesium_sulfide,-598.32567823,14,2.981719,"[-88.78413181, -46.84983195, -7.86491679, -5.82855095, -5.82198645, -5.82198612, -3.15706158, -1.90048618, -1.90047238, -1.90047231, -0.60502886, -0.26622642, -0.20901029, -0.20901028]","[-1.2e-05, -1.2e-05, 0.000259, 0.000132, 0.000179, -0.001796]",-1,192.7
methyl_silane,-331.27769181,12,0.3028021,"[-66.09059208, -10.16201935, -5.26238287, -3.62019573, -3.62019558, -3.61969525, -0.70516514, -0.52112788, -0.41645749, -0.41644448, -0.33744187, -0.33743332, -0.33068907]","[-0.0, -9.5e-05, 0.005387, 2e-06, 0.001482, -0.003665, -0.0, 0.003453, -0.000882, -0.003001, -0.001724, -0.000894, 0.003001, -0.001724, -0.000894, -0.0, -0.000448, -0.000243, -0.000378, 0.000208, -0.000246, 0.000378, 0.000208, -0.000246]",-1,132.8
aluminum_trichloride,-1623.41394587,28,0.0002168696,"[-101.53100886, -101.53099495, -101.53096123, -56.10688288, -9.46803511, -9.46802091, -9.4680147, -7.22599709, -7.22598029, -7.22597743, -7.22311091, -7.22309575, -7.22309123, -7.22234339, -7.22232903, -7.22232583, -4.21208796, -2.76827456, -2.76317163, -2.76317147, -0.84822615, -0.83146947, -0.8314612, -0.4703869, -0.40795738, -0.40795217, -0.37543055, -0.35843241, -0.35842752, -0.35260534, -0.35259785, -0.33510394]","[-3.3e-05, -8.6e-05, -0.00038, 5e-06, 1.6e-05, -0.003252, 7.5e-05, -0.003539, 0.003127, 6.6e-05, 0.003975, 0.003232]",-1,1036.1
methanethiol,-438.76930352,12,0.6176179,"[-88.84741623, -10.20808369, -7.92992479, -5.89313956, -5.8898393, -5.88428985, -0.78316205, -0.64728574, -0.4532418, -0.43518924, -0.40454003, -0.33088221, -0.2414999]","[0.005754, -0.009151, 8e-05, -0.00993, 0.018754, -0.000249, 0.003129, -0.00816, -1.9e-05, 0.002266, 0.006328, -0.008008, -0.006564, -0.011581, 7.5e-05, 0.002561, 0.005933, 0.007717]",-1,163.0
hypochlorous_acid,-536.04664711,14,0.5995325,"[-101.57135552, -19.20515117, -9.50247906, -7.26803788, -7.25404886, -7.25372146, -1.08246177, -0.80663286, -0.54389598, -0.45674602, -0.42233864, -0.32644417, -0.29338907]","[-0.002508, 0.001141, -2e-06, -0.002976, -0.001092, 0.0, 0.00653, 0.002769, 7e-05]",-1,180.1
lithium_hydride,-8.08876712,9,2.253725,"[-2.0028693, -0.19537565]","[0.0, -0.0, -0.000904, 0.0, -0.0, 0.001031]",-1,14.6
monosulfur_monofluoride,-498.05994177,19,0.2949822,"[-88.94706182, -24.73597191, -8.02244144, -5.99002703, -5.98748787, -5.97216469, -1.25589785, -0.7371621, -0.5158586, -0.51139027, -0.49581648, -0.31291295, -0.27274644]","[-0.000189, -0.000199, 0.003081, 6e-06, 1.1e-05, -0.00378]",-1,463.4
ammonia,-56.59466908,10,0.5983687,"[-14.29790549, -0.8580627, -0.46724963, -0.4672327, -0.27583614]","[-0.000409, 0.0, 0.004855, 0.000694, -0.0, -0.000467, -0.000332, -0.000573, -0.000484, -0.000332, 0.000573, -0.000484]",-1,40.2
boron_monofluoride,-124.72963978,11,0.373547,"[-24.77018178, -6.85831055, -1.30265209, -0.6262916, -0.53587578, -0.53587577, -0.28908908]","[0.0, -0.0, -0.005375, 0.0, -0.0, 0.006134]",-1,65.8
carbon_tetrafluoride,-437.71402368,12,9.838315e-05,"[-24.75064659, -24.75063622, -24.75063519, -24.75062138, -10.52372852, -1.39667227, -1.27930404, -1.27929973, -1.2792991, -0.74839904, -0.65938826, -0.65938596, -0.65938574, -0.52483941, -0.5248383, -0.49820984, -0.49820938, -0.49820859, -0.4536836, -0.453683, -0.45368088]","[-5e-06, 5e-06, -6e-06, -0.006679, -0.006898, -0.00686, 0.00682, 0.006774, -0.00681, 0.006858, -0.006789, 0.006816, -0.006913, 0.00691, 0.006652]",-1,353.9
silicon_diatomic,-578.92513731,10,1.388864e-05,"[-66.12611467, -66.1260908, -5.29385955, -5.2936804, -3.65461941, -3.65461936, -3.65453006, -3.65452999, -3.64585783, -3.64488469, -0.53722842, -0.37613791, -0.23378019, -0.23378018, -0.21788279]","[0.000399, -0.0002, 0.01187, 0.000402, -0.000551, -0.011877]",-1,369.4
acetylene,-77.3716663,10,1.47864e-07,"[-10.18625251, -10.18370801, -0.75912141, -0.57474505, -0.50511896, -0.30099873, -0.30099873]","[0.0, -0.0, 0.013305, 0.0, -0.0, -0.013304, 0.0, 0.0, 0.001271, 0.0, 0.0, -0.001271]",-1,65.6
phosphorus_trichloride,-1722.20062829,12,0.2227047,"[-101.54749808, -101.54747996, -101.54746916, -77.18907687, -9.48371896, -9.48371732, -9.48370559, -7.24372083, -7.24371892, -7.24371486, -7.23751509, -7.23751369, -7.23751019, -7.23726281, -7.23726143, -7.23725858, -6.66977329, -4.83131564, -4.83131499, -4.82676318, -0.91194718, -0.84830005, -0.84829646, -0.6162769, -0.46351484, -0.4635115, -0.42357939, -0.37629487, -0.37629307, -0.34294515, -0.34294219, -0.3321275, -0.29555312]","[0.00121, -0.000264, 0.005402, 0.009527, 0.000181, -0.004343, -0.004458, -0.008127, -0.003772, -0.004395, 0.008163, -0.003837]",-1,632.1
magnesium_monochloride,-660.40321069,12,1.374833,"[-101.46704594, -46.83695894, -9.40377925, -7.1613889, -7.15889146, -7.15889102, -3.14563585, -1.88983747, -1.88983737, -1.88744094, -0.76494437, -0.34273459, -0.29723128, -0.29723127, -0.20446807]","[2.1e-05, -1.9e-05, -0.009032, -0.000316, -0.000144, -0.00768]",-1,382.0
carbon_disulfide,-834.59636699,11,2.721484e-07,"[-88.88678771, -88.88676632, -10.29878176, -7.9695479, -7.96953841, -5.9309103, -5.93090692, -5.92754111, -5.92754103, -5.9275403, -5.92754022, -0.86199464, -0.77409948, -0.51380111, -0.4361454, -0.39422744, -0.39422744, -0.27965461, -0.27965459]","[-3e-06, -3e-06, 0.0, -0.000343, 0.000242, 0.00265, -0.000358, -0.000467, -0.002648]",-1,279.4
magnesium_monofluoride,-300.04626864,12,1.298537,"[-46.81416285, -24.57433649, -3.12463366, -1.86941217, -1.86941199, -1.86611967, -1.06500451, -0.37138816, -0.34178847, -0.34178846, -0.20370667]","[-2.1e-05, -7.8e-05, -0.007602, -9e-06, 1e-06, -0.006642]",-1,255.6
methyl_radical,-39.86339504,10,1.019701e-05,"[-10.18912435, -0.69201625, -0.42812475, -0.42812346, -0.23745142]","[-0.0, -0.0, -8.1e-05, -0.0, 0.0, -0.000469, 0.0, 0.000448, 0.000249, 0.0, -0.000448, 0.000249]",-1,94.9
ethylene,-78.63154931,10,2.502014e-07,"[-10.17820839, -10.17732838, -0.76396795, -0.5843853, -0.47531634, -0.42426147, -0.3631558, -0.28024684]","[-0.0, -0.0, 0.01389, -0.0, -0.0, -0.01389, -0.0, 0.003247, 0.000662, -0.0, -0.003247, 0.000662, -0.0, 0.003247, -0.000662, -0.0, -0.003247, -0.000662]",-1,65.2
trifluoroacetate_anion,-526.54210231,16,1.88392,"[-24.55081831, -24.55081176, -24.54961347, -18.90441423, -18.9026803, -10.2477249, -10.10108056, -1.15174127, -1.0640834, -1.06379644, -0.86137902, -0.78117692, -0.55923963, -0.45109841, -0.43347402, -0.43095766, -0.31645596, -0.31625271, -0.30670869, -0.27972361, -0.27476337, -0.25635926, -0.25178462, -0.24024739, -0.22318083, -0.09095356, -0.0828975, -0.07943143]","[-0.001437, 7.8e-05, 1e-06, 0.012137, -3.1e-05, -0.0, -0.002275, -0.004278, 3e-06, -0.001695, 0.001942, -0.003949, -0.001695, 0.001942, 0.003949, -0.003757, 0.010582, -1e-06, -0.002747, -0.010261, -5e-06]",-1,607.9
bromoform,-7761.44360966,30,0.3415569,"[-482.80374975, -482.8037129, -482.80368626, -62.47566605, -62.47562442, -62.47562199, -56.28759055, -56.28754539, -56.28753544, -56.28392072, -56.28391925, -56.28388467, -56.28387303, -56.28386516, -56.28385389, -10.34217979, -8.71278141, -8.71273785, -8.71273695, -6.54186549, -6.54182337, -6.54182236, -6.53065642, -6.53061486, -6.53061009, -6.53060931, -6.53057333, -6.53057207, -2.65663176, -2.6565862, -2.65656929, -2.6533328, -2.65329841, -2.65329098, -2.65327321, -2.65325535, -2.65324861, -2.64413765, -2.64413716, -2.6440942, -2.64409357, -2.64409245, -2.64409191, -0.89154904, -0.79658078, -0.79655939, -0.64363937, -0.48697499, -0.44787117, -0.44786206, -0.33232703, -0.33232378, -0.30907132, -0.30656404, -0.30655012, -0.28940752]","[-0.023623, -5.4e-05, -3e-06, 0.019306, -1e-05, 0.0, 0.001392, -0.010464, -8.6e-05, 0.001968, 0.004652, -0.008127, 0.002078, 0.004547, 0.008108]",-1,2394.5
nitrogen_trifluoride,-354.267815,16,0.07231775,"[-24.76553481, -24.76550065, -24.76549433, -14.623095, -1.39335142, -1.26272945, -1.26270565, -0.84056689, -0.65076794, -0.65075646, -0.60178435, -0.51084544, -0.51084442, -0.46632294, -0.46630963, -0.45079317, -0.37026901]","[-9.9e-05, 2e-06, 0.012012, 0.010347, -7e-06, -0.005097, -0.004946, -0.008684, -0.00504, -0.004953, 0.008688, -0.005033]",-1,283.8
